parameter,multiplier,avg_price,price_change_pct
S,0.95,222.66576507804496,-6.778393373197034
S,0.975,230.70494402562343,-3.4126978106530537
S,1.0,238.85639084665203,0.0
S,1.025,247.11171020395446,3.45618525342386
S,1.05,255.46323740666685,6.95264903783821
r,0.5,238.7318795474735,-0.05212810037745763
r,0.75,238.79402533481908,-0.026110045292027095
r,1.0,238.85639084665203,0.0
r,1.25,238.9189751157373,0.02620163055442326
r,1.5,238.98177717691908,0.052494442297557065
sigma,0.8,221.54873432352272,-7.246051261923736
sigma,0.9,229.7944088674677,-3.793903921541797
sigma,1.0,238.85639084665203,0.0
sigma,1.1,248.54146184086335,4.054767368744683
sigma,1.2,258.6871275307365,8.302368052113795
