parameter,value,mae,mae_change_pct,is_baseline
n_estimators,50,3.67496705762683,1.7290082595116774,False
n_estimators,100,3.6125065214947876,0.0,True
n_estimators,200,3.653673159360435,1.1395588525778821,False
n_estimators,300,3.674515963661719,1.716521251877845,False
max_depth,5,5.554091593194497,53.74620253685569,False
max_depth,10,3.6125065214947876,0.0,True
max_depth,20,3.648987698229933,1.009857740548803,False
max_depth,None,3.6490675369237855,1.0120678042089715,False
min_samples_split,2,3.6125065214947876,0.0,True
min_samples_split,5,3.7172638352153484,2.89985120019145,False
min_samples_split,10,4.000154460761296,10.730719431507275,False
min_samples_split,20,4.90815215598115,35.86555835337977,False
min_samples_leaf,1,3.6125065214947876,0.0,True
min_samples_leaf,2,3.6087116926525082,-0.10504697554730713,False
min_samples_leaf,5,4.001787055014101,10.77591227041541,False
min_samples_leaf,10,4.929097483043651,36.44535874786692,False
