split,mae,rmse,r2,train_samples,test_samples
1,5.335134051628587,6.058434301460368,0.9485278247656902,176,176
2,3.785647312777017,4.639853048622555,0.97082831265679,352,176
3,4.27320895851343,5.23032342225357,0.957964804333183,528,176
