Date,Stock_Price,Strike,Time_to_Expiry,Option_Price,Delta,Hedge_Ratio,Transaction_Cost,PnL,Cumulative_PnL
2023-01-13,593.1307736475015,533.8176962827514,0.0821917808219178,59.978116599665555,0.9765285632423469,2.9295856897270407,1.737627426614449,-1.737627426614449,-1.737627426614449
2023-01-16,588.6725862723738,533.8176962827514,0.07945205479452054,55.59138651828107,0.9697790389151322,2.9093371167453963,0.011919779825429518,0.08762852803201177,-1.6499988985824372
2023-01-17,587.5883156997301,533.8176962827514,0.07671232876712328,54.49366518422323,0.9695530333836855,2.9086591001510564,0.00039839462868462464,0.13825698595763336,-1.511741912624804
2023-01-18,590.5371793149175,533.8176962827514,0.07397260273972603,57.317533829564354,0.9775021939914992,2.9325065819744975,0.01408282464977867,0.09155022874604696,-1.420191683878757
2023-01-19,597.5537174483704,533.8176962827514,0.07123287671232877,64.18462637467678,0.9885749739397619,2.9657249218192856,0.01984974246171643,-0.045083118773114536,-1.4652748026518714
2023-01-20,587.8680036773155,533.8176962827514,0.0684931506849315,54.625638838348095,0.9766396498084288,2.929918949425286,0.021049185510985502,-0.06924929295071863,-1.53452409560259
2023-01-23,588.0971196638318,533.8176962827514,0.06575342465753424,54.808895558378026,0.9791490538931876,2.9374471616795628,0.004427319942958018,0.11709379047751563,-1.4174303051250745
2023-01-24,599.1041450282415,533.8176962827514,0.06301369863013698,65.64413085202364,0.9932454228824683,2.9797362686474047,0.0253355792739768,-0.19848604499045167,-1.6159163501155263
2023-01-25,597.6495780969808,533.8176962827514,0.06027397260273972,64.17487266291585,0.9932735664665375,2.9798206993996126,5.046000343544768e-05,0.07349826706718665,-1.5424180830483396
2023-01-26,604.1691036515333,533.8176962827514,0.057534246575342465,70.64475586052674,0.9971777436664341,2.9915332309993024,0.007076349718074827,0.01029125516951421,-1.5321268278788254
2023-01-27,607.7346866058763,533.8176962827514,0.0547945205479452,74.18660073073261,0.9984995397908317,2.995498619372495,0.002409904060252859,0.0386153811238238,-1.4935114467550015
2023-01-30,614.537353311254,533.8176962827514,0.05205479452054794,80.9663307390133,0.999518979448322,2.998556938344966,0.0018794512469238523,0.03630924792131401,-1.4572021988336874
2023-01-31,609.0989593409894,533.8176962827514,0.049315068493150684,75.51630191619358,0.9992587084853956,2.9977761254561868,0.0004755923179954308,0.04227690315064858,-1.4149252956830387
2023-02-01,603.7385318561135,533.8176962827514,0.04657534246575342,70.14578772459095,0.9988613371024329,2.9965840113072986,0.000719725246054663,0.04146131316169279,-1.373463982521346
2023-02-02,604.0541998287051,533.8176962827514,0.04383561643835616,70.44688666531476,0.999202437896486,2.997607313689458,0.0006181301016380486,0.042010647276849535,-1.3314533352444964
2023-02-03,593.8240265410394,533.8176962827514,0.0410958904109589,60.21513870365868,0.9975389632606508,2.9926168897819525,0.0029634336189015066,0.02623818393209775,-1.3052151513123986
2023-02-06,592.1839482490153,533.8176962827514,0.03835616438356164,58.56101545837487,0.9977018484598473,2.993105545379542,0.0002893740011144559,0.05395436457426555,-1.2512607867381331
2023-02-07,594.0583334093659,533.8176962827514,0.035616438356164376,60.413675932983324,0.9987675331955003,2.996302599586501,0.0018992366940054882,0.050351957103083156,-1.20090882963505
2023-02-08,606.3796298194037,533.8176962827514,0.03287671232876712,72.71495185399283,0.9999111660411135,2.999733498123341,0.0020804269847168916,0.01242427365886056,-1.1884845559761896
2023-02-09,609.3333519909353,533.8176962827514,0.030136986301369857,75.65573000270933,0.9999756285735735,2.99992688572072,0.00011783751294467116,0.037927058430443444,-1.1505574975457462
2023-02-10,613.8482670835206,533.8176962827514,0.0273972602739726,80.15835355493994,0.999996501344593,2.999989504033779,3.843814295881313e-05,0.03650607815808146,-1.1140514193876647
2023-02-13,622.189399836171,533.8176962827514,0.02465753424657534,88.48600693554476,0.999999894650124,2.9999996839503718,6.333836195256952e-06,0.040344234052971654,-1.0737071853346931
2023-02-14,615.6011166956463,533.8176962827514,0.021917808219178075,81.88480182261344,0.9999998479984727,2.9999995439954183,8.61564256027386e-08,0.038767913287859945,-1.0349392720468331
2023-02-15,614.6298469056286,533.8176962827514,0.019178082191780813,80.9004947578785,0.9999999687200399,2.9999999061601197,2.225972349390125e-07,0.03911204445798548,-0.9958272275888477
2023-02-16,631.9527714034249,533.8176962827514,0.016438356164383564,98.21063514765672,0.9999999999986277,2.999999999995883,5.929977058552066e-08,0.03835063917331089,-0.9574765884155367
